timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZ;targetId;targetName;distanceToTarget
3.204531;0;0;0.06736971;3;0.1640654;4.660216;0.7935904;0.6084522;7;Brick;17.83996
3.204531;0;0;0.06736971;4;-1.481889;-1.423788;-0.7120858;-0.7020922;3;Forest;19.16685
3.204531;0;0;0.06736971;5;3.139219;-1.70899;0.6650268;-0.7468193;6;GoldenRod;17.74178
3.204531;0;0;0.06736971;6;-1.882931;4.764616;-0.763158;0.6462117;2;Violet;16.82536
3.204531;0;0;0.06736971;7;1.263721;0.4718962;0.6494414;0.7604116;7;Brick;20.03668
3.204531;0;0;0.06736971;8;-0.38868;-4.084033;-0.8231668;-0.5677993;3;Forest;18.04136
3.204531;0;0;0.06736971;9;-3.698272;-1.97986;-0.6378228;-0.7701828;3;Forest;17.35252
3.204531;0;0;0.06736971;10;-2.763169;0.3143911;-0.610558;0.7919713;2;Violet;18.99135
3.204531;0;0;0.06736971;11;-1.750091;-2.529454;-0.7006356;-0.7135191;3;Forest;18.16018
3.204531;0;0;0.06736971;12;-3.878414;-2.372476;-0.6893182;-0.7244584;3;Forest;16.92959
3.204531;0;0;0.06736971;13;-1.255647;-1.662056;-0.7479146;-0.6637948;3;Forest;19.13598
3.204531;0;0;0.06736971;14;-2.729506;0.4085917;-0.6734824;0.7392032;2;Violet;18.94731
3.2303;0;0;0.06736971;0;-2.263179;2.66643;-0.6887427;0.7250057;2;Violet;17.76214
3.2303;0;0;0.06736971;1;2.387718;2.874977;0.6826476;0.7307474;7;Brick;17.47742
3.2303;0;0;0.06736971;2;1.384039;-2.958212;0.7908802;-0.6119708;6;GoldenRod;18.27221
3.2303;0;0;0.06736971;3;0.1640654;4.660216;0.8029698;0.5960196;7;Brick;17.83996
3.2303;0;0;0.06736971;4;-1.481889;-1.423788;-0.7059221;-0.7082893;3;Forest;19.16685
3.2303;0;0;0.06736971;5;3.139219;-1.70899;0.6821637;-0.7311991;6;GoldenRod;17.74178
3.2303;0;0;0.06736971;6;-1.882931;4.764616;-0.76279;0.6466461;2;Violet;16.82536
3.2303;0;0;0.06736971;7;1.263721;0.4718962;0.7061543;0.7080578;7;Brick;20.03668
3.2303;0;0;0.06736971;8;-0.38868;-4.084033;-0.822621;-0.5685899;3;Forest;18.04136
3.2303;0;0;0.06736971;9;-3.698272;-1.97986;-0.610884;-0.79172;3;Forest;17.35252
3.2303;0;0;0.06736971;10;-2.763169;0.3143911;-0.6134394;0.7897416;2;Violet;18.99135
3.2303;0;0;0.06736971;11;-1.750091;-2.529454;-0.7511653;-0.6601139;3;Forest;18.16018
3.2303;0;0;0.06736971;12;-3.878414;-2.372476;-0.685181;-0.7283726;3;Forest;16.92959
3.2303;0;0;0.06736971;13;-1.255647;-1.662056;-0.7300183;-0.6834275;3;Forest;19.13598
3.2303;0;0;0.06736971;14;-2.729506;0.4085917;-0.6161739;0.7876099;2;Violet;18.94731
3.259369;0;0;0.06736971;0;-2.263179;2.66643;-0.7376102;0.6752265;2;Violet;17.76214
3.259369;0;0;0.06736971;1;2.387718;2.874977;0.6737362;0.7389718;7;Brick;17.47742
3.259369;0;0;0.06736971;2;1.384039;-2.958212;0.7775308;-0.6288447;6;GoldenRod;18.27221
3.259369;0;0;0.06736971;3;0.1640654;4.660216;0.8070632;0.5904648;7;Brick;17.83996
3.259369;0;0;0.06736971;4;-1.481889;-1.423788;-0.6915696;-0.7223096;3;Forest;19.16685
3.259369;0;0;0.06736971;5;3.139219;-1.70899;0.7158242;-0.6982803;6;GoldenRod;17.74178
3.259369;0;0;0.06736971;6;-1.882931;4.764616;-0.7957321;0.6056486;2;Violet;16.82536
3.259369;0;0;0.06736971;7;1.263721;0.4718962;0.6821904;0.7311744;7;Brick;20.03668
3.259369;0;0;0.06736971;8;-0.38868;-4.084033;-0.8172119;-0.5763371;3;Forest;18.04136
3.259369;0;0;0.06736971;9;-3.698272;-1.97986;-0.6867394;-0.7269035;3;Forest;17.35252
3.259369;0;0;0.06736971;10;-2.763169;0.3143911;-0.6161699;0.787613;2;Violet;18.99135
3.259369;0;0;0.06736971;11;-1.750091;-2.529454;-0.7142634;-0.6998767;3;Forest;18.16018
3.259369;0;0;0.06736971;12;-3.878414;-2.372476;-0.6891844;-0.7245858;3;Forest;16.92959
3.259369;0;0;0.06736971;13;-1.255647;-1.662056;-0.7481509;-0.6635283;3;Forest;19.13598
3.259369;0;0;0.06736971;14;-2.729506;0.4085917;-0.6719849;0.7405647;2;Violet;18.94731
3.286696;0;0;0.06736971;0;-2.263179;2.66643;-0.7422764;0.6700936;2;Violet;17.76214
3.286696;0;0;0.06736971;1;2.387718;2.874977;0.7300573;0.6833857;7;Brick;17.47742
3.286696;0;0;0.06736971;2;1.384039;-2.958212;0.7481472;-0.6635326;6;GoldenRod;18.27221
3.286696;0;0;0.06736971;3;0.1640654;4.660216;0.7825639;0.62257;7;Brick;17.83996
3.286696;0;0;0.06736971;4;-1.481889;-1.423788;-0.675438;-0.7374166;3;Forest;19.16685
3.286696;0;0;0.06736971;5;3.139219;-1.70899;0.696708;-0.7173546;6;GoldenRod;17.74178
3.286696;0;0;0.06736971;6;-1.882931;4.764616;-0.8054518;0.5926611;2;Violet;16.82536
3.286696;0;0;0.06736971;7;1.263721;0.4718962;0.6479702;0.7616655;7;Brick;20.03668
3.286696;0;0;0.06736971;8;-0.38868;-4.084033;-0.8165551;-0.5772672;3;Forest;18.04136
3.286696;0;0;0.06736971;9;-3.698272;-1.97986;-0.6871149;-0.7265486;3;Forest;17.35252
3.286696;0;0;0.06736971;10;-2.763169;0.3143911;-0.6046999;0.7964532;2;Violet;18.99135
3.286696;0;0;0.06736971;11;-1.750091;-2.529454;-0.7351543;-0.6778997;3;Forest;18.16018
3.286696;0;0;0.06736971;12;-3.878414;-2.372476;-0.6914918;-0.7223841;3;Forest;16.92959
3.286696;0;0;0.06736971;13;-1.255647;-1.662056;-0.7477351;-0.6639969;3;Forest;19.13598
3.286696;0;0;0.06736971;14;-2.729506;0.4085917;-0.6097705;0.7925779;2;Violet;18.94731
3.313668;0;0;0.06736971;0;-2.263179;2.66643;-0.7423897;0.6699681;2;Violet;17.76214
3.313668;0;0;0.06736971;1;2.387718;2.874977;0.6891378;0.7246302;7;Brick;17.47742
3.313668;0;0;0.06736971;2;1.384039;-2.958212;0.7838356;-0.6209682;6;GoldenRod;18.27221
3.313668;0;0;0.06736971;3;0.1640654;4.660216;0.8011;0.5985304;7;Brick;17.83996
3.313668;0;0;0.06736971;4;-1.481889;-1.423788;-0.7306674;-0.6827333;3;Forest;19.16685
3.313668;0;0;0.06736971;5;3.139219;-1.70899;0.6898631;-0.7239395;6;GoldenRod;17.74178
3.313668;0;0;0.06736971;6;-1.882931;4.764616;-0.7746516;0.6323881;2;Violet;16.82536
3.313668;0;0;0.06736971;7;1.263721;0.4718962;0.6575419;0.7534178;7;Brick;20.03668
