timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
2.343743;0;0;6.251752;6;GoldenRod;14.48103;-15.53383;5.462726;21.23676;2
2.343743;0;0;6.251752;7;Brick;15.53383;14.48102;7.033522;21.23676;1
2.363014;0;0;6.255028;0;Greystone;0.9433658;30.00183;7.822548;30.01666;0
2.363014;0;0;6.255028;1;TerraCotta;30.00183;-0.9433706;6.251752;30.01666;0
2.363014;0;0;6.255028;2;Violet;-14.53729;15.48119;8.607946;21.23676;4
2.363014;0;0;6.255028;3;Forest;-15.48119;-14.53729;3.895557;21.23676;4
2.363014;0;0;6.255028;4;Lake;-30.00183;0.9433608;9.393345;30.01666;0
2.363014;0;0;6.255028;5;Ivy;-0.9433612;-30.00183;4.680956;30.01666;0
2.363014;0;0;6.255028;6;GoldenRod;14.5373;-15.48118;5.466354;21.23676;2
2.363014;0;0;6.255028;7;Brick;15.48119;14.53729;7.03715;21.23676;1
2.381396;0;0;6.258392;0;Greystone;0.8450643;30.00476;7.825825;30.01666;0
2.381396;0;0;6.258392;1;TerraCotta;30.00476;-0.8450693;6.255028;30.01666;0
2.381396;0;0;6.258392;2;Violet;-14.58793;15.43348;8.611222;21.23676;4
2.381396;0;0;6.258392;3;Forest;-15.43347;-14.58794;3.898834;21.23676;4
2.381396;0;0;6.258392;4;Lake;-30.00476;0.8450738;9.396621;30.01666;0
2.381396;0;0;6.258392;5;Ivy;-0.8450742;-30.00476;4.684232;30.01666;0
2.381396;0;0;6.258392;6;GoldenRod;14.58794;-15.43347;5.46963;21.23676;2
2.381396;0;0;6.258392;7;Brick;15.43348;14.58793;7.040426;21.23676;1
2.400115;0;0;6.2616;0;Greystone;0.7441498;30.00744;7.829188;30.01666;0
2.400115;0;0;6.2616;1;TerraCotta;30.00744;-0.7441403;6.258392;30.01666;0
2.400115;0;0;6.2616;2;Violet;-14.63976;15.38433;8.614586;21.23676;4
2.400115;0;0;6.2616;3;Forest;-15.38432;-14.63976;3.902197;21.23676;4
2.400115;0;0;6.2616;4;Lake;-30.00744;0.7441449;9.399984;30.01666;0
2.400115;0;0;6.2616;5;Ivy;-0.7441453;-30.00744;4.687595;30.01666;0
2.400115;0;0;6.2616;6;GoldenRod;14.63976;-15.38432;5.472993;21.23676;2
2.400115;0;0;6.2616;7;Brick;15.38432;14.63976;7.04379;21.23676;1
2.419237;0;0;6.264867;0;Greystone;0.6478775;30.00967;7.832396;30.01666;0
2.419237;0;0;6.264867;1;TerraCotta;30.00967;-0.647868;6.2616;30.01666;0
2.419237;0;0;6.264867;2;Violet;-14.68904;15.33728;8.617794;21.23676;4
2.419237;0;0;6.264867;3;Forest;-15.33728;-14.68904;3.905405;21.23676;4
2.419237;0;0;6.264867;4;Lake;-30.00967;0.6478726;9.403193;30.01666;0
2.419237;0;0;6.264867;5;Ivy;-0.6478729;-30.00967;4.690804;30.01666;0
2.419237;0;0;6.264867;6;GoldenRod;14.68904;-15.33728;5.476202;21.23676;2
2.419237;0;0;6.264867;7;Brick;15.33728;14.68904;7.046998;21.23676;1
2.438115;0;0;6.268204;0;Greystone;0.5498239;30.01163;7.835663;30.01666;0
2.438115;0;0;6.268204;1;TerraCotta;30.01163;-0.5498288;6.264867;30.01666;0
2.438115;0;0;6.268204;2;Violet;-14.73907;15.28921;8.621061;21.23676;4
2.438115;0;0;6.268204;3;Forest;-15.2892;-14.73907;3.908673;21.23676;4
2.438115;0;0;6.268204;4;Lake;-30.01163;0.5498191;9.40646;30.01666;0
2.438115;0;0;6.268204;5;Ivy;-0.5498194;-30.01163;4.694071;30.01666;0
2.438115;0;0;6.268204;6;GoldenRod;14.73907;-15.2892;5.479469;21.23676;2
2.438115;0;0;6.268204;7;Brick;15.2892;14.73908;7.050265;21.23676;1
2.459122;0;0;6.270841;0;Greystone;0.4496608;30.01329;7.839001;30.01666;0
2.459122;0;0;6.270841;1;TerraCotta;30.01329;-0.4496657;6.268204;30.01666;0
2.459122;0;0;6.270841;2;Violet;-14.79002;15.23992;8.624399;21.23676;4
2.459122;0;0;6.270841;3;Forest;-15.23993;-14.79002;3.91201;21.23676;4
2.459122;0;0;6.270841;4;Lake;-30.01329;0.4496702;9.409797;30.01666;0
2.459122;0;0;6.270841;5;Ivy;-0.4496562;-30.01329;4.697408;30.01666;0
2.459122;0;0;6.270841;6;GoldenRod;14.79002;-15.23993;5.482806;21.23676;2
2.459122;0;0;6.270841;7;Brick;15.23993;14.79002;7.053603;21.23676;1
2.484353;0;0;6.275973;0;Greystone;0.3705456;30.01438;7.841637;30.01666;0
2.484353;0;0;6.275973;1;TerraCotta;30.01438;-0.3705362;6.270841;30.01666;0
2.484353;0;0;6.275973;2;Violet;-14.83014;15.20088;8.627035;21.23676;4
2.484353;0;0;6.275973;3;Forest;-15.20089;-14.83014;3.914646;21.23676;4
2.484353;0;0;6.275973;4;Lake;-30.01438;0.370555;9.412433;30.01666;0
2.484353;0;0;6.275973;5;Ivy;-0.3705411;-30.01438;4.700044;30.01666;0
2.484353;0;0;6.275973;6;GoldenRod;14.83014;-15.20089;5.485442;21.23676;2
2.484353;0;0;6.275973;7;Brick;15.20089;14.83014;7.056239;21.23676;1
2.51035;0;0;6.283019;0;Greystone;0.216473;30.01588;7.84677;30.01666;0
2.51035;0;0;6.283019;1;TerraCotta;30.01588;-0.2164779;6.275973;30.01666;0
2.51035;0;0;6.283019;2;Violet;-14.90797;15.12457;8.632168;21.23676;4
2.51035;0;0;6.283019;3;Forest;-15.12456;-14.90797;3.919779;21.23676;4
2.51035;0;0;6.283019;4;Lake;-30.01588;0.2164681;9.417566;30.01666;0
2.51035;0;0;6.283019;5;Ivy;-0.2164685;-30.01588;4.705177;30.01666;0
2.51035;0;0;6.283019;6;GoldenRod;14.90797;-15.12456;5.490575;21.23676;2
2.51035;0;0;6.283019;7;Brick;15.12456;14.90797;7.061372;21.23676;1
2.533349;0;0;0.01889114;0;Greystone;0.004985119;30.01666;7.853816;30.01666;0
2.533349;0;0;0.01889114;1;TerraCotta;30.01666;-0.00499001;6.283019;30.01666;0
2.533349;0;0;0.01889114;2;Violet;-15.01416;15.01915;8.639214;21.23676;4
2.533349;0;0;0.01889114;3;Forest;-15.01915;-15.01416;3.926825;21.23676;4
2.533349;0;0;0.01889114;4;Lake;-30.01666;0.004980229;9.424612;30.01666;0
2.533349;0;0;0.01889114;5;Ivy;-0.0049949;-30.01666;4.712223;30.01666;0
2.533349;0;0;0.01889114;6;GoldenRod;15.01416;-15.01915;5.497621;21.23676;2
2.533349;0;0;0.01889114;7;Brick;15.01916;15.01416;7.068417;21.23676;1
2.554959;0;0;0.03655295;0;Greystone;-0.5670152;30.01131;1.589687;30.01666;0
2.554959;0;0;0.03655295;1;TerraCotta;30.01131;0.5670151;0.01889114;30.01666;0
2.554959;0;0;0.03655295;2;Violet;-15.29764;14.73031;2.375086;21.23676;5
2.554959;0;0;0.03655295;3;Forest;-14.73031;-15.29764;-2.337303;21.23676;3
2.554959;0;0;0.03655295;4;Lake;-30.01131;-0.5670166;3.160484;30.01666;0
2.554959;0;0;0.03655295;5;Ivy;0.5670162;-30.01131;-1.551905;30.01666;0
2.554959;0;0;0.03655295;6;GoldenRod;15.29764;-14.73031;-0.766507;21.23676;2
2.554959;0;0;0.03655295;7;Brick;14.73031;15.29764;0.8042893;21.23676;1
2.576306;0;0;0.05050788;0;Greystone;-1.096953;29.99661;1.607349;30.01666;0
2.576306;0;0;0.05050788;1;TerraCotta;29.99661;1.096953;0.03655295;30.01666;0
2.576306;0;0;0.05050788;2;Violet;-15.55541;14.45785;2.392747;21.23676;5
2.576306;0;0;0.05050788;3;Forest;-14.45785;-15.55541;-2.319642;21.23676;3
2.576306;0;0;0.05050788;4;Lake;-29.99661;-1.096955;3.178146;30.01666;0
2.576306;0;0;0.05050788;5;Ivy;1.096954;-29.99661;-1.534243;30.01666;0
2.576306;0;0;0.05050788;6;GoldenRod;15.55541;-14.45785;-0.7488452;21.23676;2
2.576306;0;0;0.05050788;7;Brick;14.45785;15.55541;0.8219511;21.23676;1
2.601703;0;0;0.05795936;0;Greystone;-1.515432;29.97838;1.621304;30.01666;0
2.601703;0;0;0.05795936;1;TerraCotta;29.97838;1.515433;0.05050788;30.01666;0
2.601703;0;0;0.05795936;2;Violet;-15.75564;14.23937;2.406702;21.23676;5
2.601703;0;0;0.05795936;3;Forest;-14.23937;-15.75564;-2.305687;21.23676;3
2.601703;0;0;0.05795936;4;Lake;-29.97838;-1.515433;3.192101;30.01666;0
