timeStamp;roomX;roomZ;roomAngle;targetId;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
25.85861;24.29779;-12.8329;2.852812;5;28.19343;9.637158;0.3293715;29.79504;0
25.85861;24.29779;-12.8329;2.852812;6;9.57223;-0.4764684;-0.04973507;9.584082;11
25.85861;24.29779;-12.8329;2.852812;7;0.9869114;-29.24595;4.746121;29.2626;0
25.88487;24.3277;-12.93357;2.852812;0;11.09541;-47.98689;4.939613;49.25292;0
25.88487;24.3277;-12.93357;2.852812;1;-9.139397;-10.69952;4.005469;14.07154;1
25.88487;24.3277;-12.93357;2.852812;2;29.7494;-37.87836;5.37816;48.16426;0
25.88487;24.3277;-12.93357;2.852812;3;38.29771;-9.11637;-0.2336905;39.36779;0
25.88487;24.3277;-12.93357;2.852812;4;48.40112;-27.76824;5.762321;55.80093;0
25.88487;24.3277;-12.93357;2.852812;5;28.19346;9.541;0.3263142;29.7641;0
25.88487;24.3277;-12.93357;2.852812;6;9.572183;-0.5730226;-0.05979196;9.589319;11
25.88487;24.3277;-12.93357;2.852812;7;0.986904;-29.34204;4.746011;29.35863;0
25.91144;24.35796;-13.03543;2.852812;0;11.09541;-48.09189;4.939134;49.35522;0
25.91144;24.35796;-13.03543;2.852812;1;-9.139185;-10.80451;4.010299;14.1514;1
25.91144;24.35796;-13.03543;2.852812;2;29.74938;-37.98337;5.376815;48.24689;0
25.91144;24.35796;-13.03543;2.852812;3;38.2977;-9.221414;-0.2362847;39.39223;0
25.91144;24.35796;-13.03543;2.852812;4;48.40112;-27.87325;5.76069;55.85325;0
25.91144;24.35796;-13.03543;2.852812;5;28.19349;9.435939;0.3229666;29.73062;0
25.91144;24.35796;-13.03543;2.852812;6;9.572124;-0.6785016;-0.07076472;9.596141;11
25.91144;24.35796;-13.03543;2.852812;7;0.9869062;-29.44701;4.745891;29.46354;0
25.93776;24.38794;-13.13635;2.852812;0;11.0954;-48.19814;4.938651;49.45876;0
25.93776;24.38794;-13.13635;2.852812;1;-9.138976;-10.91073;4.01513;14.23253;1
25.93776;24.38794;-13.13635;2.852812;2;29.74936;-38.08964;5.375459;48.33058;0
25.93776;24.38794;-13.13635;2.852812;3;38.29768;-9.327731;-0.2389071;39.41724;0
25.93776;24.38794;-13.13635;2.852812;4;48.4011;-27.97953;5.759042;55.90636;0
25.93776;24.38794;-13.13635;2.852812;5;28.19352;9.329638;0.3195719;29.69708;0
25.93776;24.38794;-13.13635;2.852812;6;9.572053;-0.7852255;-0.08184986;9.604206;11
25.93776;24.38794;-13.13635;2.852812;7;0.9868966;-29.55322;4.74577;29.56969;0
25.96339;24.41715;-13.23466;2.852812;0;11.09538;-48.30341;4.938174;49.56134;0
25.96339;24.41715;-13.23466;2.852812;1;-9.138767;-11.01597;4.019863;14.31324;1
25.96339;24.41715;-13.23466;2.852812;2;29.74935;-38.1949;5.37412;48.41357;0
25.96339;24.41715;-13.23466;2.852812;3;38.29766;-9.433029;-0.241501;39.44228;0
25.96339;24.41715;-13.23466;2.852812;4;48.40108;-28.08483;5.757413;55.95911;0
25.96339;24.41715;-13.23466;2.852812;5;28.19355;9.224319;0.3162009;29.66419;0
25.96339;24.41715;-13.23466;2.852812;6;9.571973;-0.8909661;-0.09281329;9.613349;11
25.96339;24.41715;-13.23466;2.852812;7;0.9868854;-29.65845;4.745652;29.67487;0
25.9904;24.44791;-13.33821;2.852812;0;11.09539;-48.40594;4.937712;49.66128;0
25.9904;24.44791;-13.33821;2.852812;1;-9.138572;-11.11848;4.024421;14.39216;1
25.9904;24.44791;-13.33821;2.852812;2;29.74932;-38.29745;5.37282;48.4945;0
25.9904;24.44791;-13.33821;2.852812;3;38.29766;-9.535562;-0.2440236;39.46692;0
25.9904;24.44791;-13.33821;2.852812;4;48.40107;-28.18737;5.755829;56.01064;0
25.9904;24.44791;-13.33821;2.852812;5;28.19358;9.121731;0.3129102;29.63248;0
25.9904;24.44791;-13.33821;2.852812;6;9.571884;-0.9939569;-0.1034705;9.623352;11
25.9904;24.44791;-13.33821;2.852812;7;0.9868866;-29.76095;4.745537;29.77731;0
26.01847;24.47988;-13.44582;2.852812;0;11.09539;-48.51394;4.937227;49.76656;0
26.01847;24.47988;-13.44582;2.852812;1;-9.138362;-11.22647;4.029169;14.47561;1
26.01847;24.47988;-13.44582;2.852812;2;29.74931;-38.40547;5.371456;48.57985;0
26.01847;24.47988;-13.44582;2.852812;3;38.29765;-9.64363;-0.246679;39.49315;0
26.01847;24.47988;-13.44582;2.852812;4;48.40107;-28.2954;5.754164;56.06507;0
26.01847;24.47988;-13.44582;2.852812;5;28.19361;9.01367;0.3094364;29.59942;0
26.01847;24.47988;-13.44582;2.852812;6;9.571782;-1.102444;-0.1146712;9.63506;11
26.01847;24.47988;-13.44582;2.852812;7;0.9868881;-29.86893;4.745418;29.88523;0
26.04442;24.50945;-13.54533;2.852812;0;11.09537;-48.6262;4.936725;49.87599;0
26.04442;24.50945;-13.54533;2.852812;1;-9.138151;-11.33869;4.034045;14.56268;1
26.04442;24.50945;-13.54533;2.852812;2;29.74927;-38.51775;5.370043;48.66863;0
