timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZtargetId;targetName;targetX;targetZ;targetAngle;distanceToRoom;distanceToAgent;LookedAt;targetAttentionCount
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;19.71151;0;3
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;7;Brick;12.33969;17.28386;0.9507739;21.23676;18.28506;1;4
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;0;Greystone;-4.941432;29.60713;1.736172;30.01666;33.96421;0;0
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;29.53005;0;0
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;2;Violet;-17.28386;12.33969;2.52157;21.23676;24.63667;0;3
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;19.22477;0;2
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;4;Lake;-29.60713;-4.941433;3.306968;30.01666;30.98973;0;0
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;26.05417;0;0
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;18.03945;1;3
2.598519;0;0;0.1653758;7;1.377406;-3.781068;0.8233238;-0.5675716;7;Brick;12.33969;17.28386;0.9507739;21.23676;23.72332;0;4
2.598519;0;0;0.1653758;8;3.734166;-4.616666;0.8126326;-0.582776;0;Greystone;-4.941432;29.60713;1.736172;30.01666;35.28969;0;0
2.598519;0;0;0.1653758;8;3.734166;-4.616666;0.8126326;-0.582776;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;27.56565;0;0
2.598519;0;0;0.1653758;8;3.734166;-4.616666;0.8126326;-0.582776;2;Violet;-17.28386;12.33969;2.52157;21.23676;26.98159;0;3
2.598519;0;0;0.1653758;8;3.734166;-4.616666;0.8126326;-0.582776;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;20.44265;0;2
2.598519;0;0;0.1653758;8;3.734166;-4.616666;0.8126326;-0.582776;4;Lake;-29.60713;-4.941433;3.306968;30.01666;33.32642;0;0
2.598519;0;0;0.1653758;8;3.734166;-4.616666;0.8126326;-0.582776;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;25.00307;0;0
